round,start_day,village,node_from,population,node_to,n,coverage
Sep 20,244,Obom,1,1400,3,655,0.4678571429
Sep 20,244,Kofi_Kwei,2,2255,3,851,0.377383592
Sep 20,244,Obom,3,1475,1,696,0.4718644068
Sep 20,244,Kofi_Kwei,3,1818,2,761,0.4185918592
Jan 21,334,Obom,1,1441,3,566,0.3927827897
Jan 21,334,Kofi_Kwei,2,2165,3,736,0.3399538106
Jan 21,334,Obom,3,1434,1,548,0.3821478382
Jan 21,334,Kofi_Kwei,3,1908,2,826,0.4329140461
May 21,424,Obom,1,1423,3,516,0.3626141954
May 21,424,Kofi_Kwei,2,2255,3,752,0.333481153
May 21,424,Obom,3,1452,1,602,0.414600551
May 21,424,Kofi_Kwei,3,1818,2,880,0.4840484048
