ledger,community,pv,n,variable,value,node,population,prob
1-0-0-0,OBOM,25%,446,Sep.20,Home,1,1400,0.318571429
1-0-0-1,OBOM,50%,55,Sep.20,Home,1,1400,0.039285714
1-0-1-0,OBOM,50%,54,Sep.20,Home,1,1400,0.038571429
1-0-1-1,OBOM,75%,100,Sep.20,Home,1,1400,0.071428571
1-1-0-0,OBOM,50%,117,Sep.20,Home,1,1400,0.083571429
1-1-0-1,OBOM,75%,85,Sep.20,Home,1,1400,0.060714286
1-1-1-0,OBOM,75%,118,Sep.20,Home,1,1400,0.084285714
1-1-1-1,OBOM,100%,425,Sep.20,Home,1,1400,0.303571429
1-0-0-0,KK,25%,433,Sep.20,Home,2,2255,0.192017738
1-0-0-1,KK,50%,118,Sep.20,Home,2,2255,0.05232816
1-0-1-0,KK,50%,116,Sep.20,Home,2,2255,0.051441242
1-0-1-1,KK,75%,184,Sep.20,Home,2,2255,0.081596452
1-1-0-0,KK,50%,191,Sep.20,Home,2,2255,0.084700665
1-1-0-1,KK,75%,141,Sep.20,Home,2,2255,0.062527716
1-1-1-0,KK,75%,231,Sep.20,Home,2,2255,0.102439024
1-1-1-1,KK,100%,841,Sep.20,Home,2,2255,0.372949002
0-0-0-1,OBOM,100%,385,Sep.20,Away,3,1475,0.261016949
0-0-1-0,OBOM,50%,210,Sep.20,Away,3,1475,0.142372881
0-0-1-1,OBOM,100%,184,Sep.20,Away,3,1475,0.124745763
0-1-0-0,OBOM,33%,287,Sep.20,Away,3,1475,0.194576271
0-1-0-1,OBOM,67%,77,Sep.20,Away,3,1475,0.05220339
0-1-1-0,OBOM,67%,134,Sep.20,Away,3,1475,0.090847458
0-1-1-1,OBOM,100%,198,Sep.20,Away,3,1475,0.134237288
0-0-0-1,KK,100%,531,Sep.20,Away,4,1818,0.292079208
0-0-1-0,KK,50%,265,Sep.20,Away,4,1818,0.145764576
0-0-1-1,KK,100%,261,Sep.20,Away,4,1818,0.143564356
0-1-0-0,KK,33%,314,Sep.20,Away,4,1818,0.172717272
0-1-0-1,KK,67%,90,Sep.20,Away,4,1818,0.04950495
0-1-1-0,KK,67%,140,Sep.20,Away,4,1818,0.077007701
0-1-1-1,KK,100%,217,Sep.20,Away,4,1818,0.119361936
