ledger,start_day,node_from,node_to,n_visits,at_node
1-0-0-0,260,1,3,3,360
1-0-0-1,260,1,3,2,240
1-0-1-1,260,1,3,1,120
1-0-1-0,260,1,3,1,120
1-0-1-0,500,1,3,1,120
1-1-0-0,380,1,3,2,240
1-1-0-1,380,1,3,1,120
1-1-1-0,500,1,3,1,120
1-0-0-0,260,2,4,3,360
1-0-0-1,260,2,4,2,240
1-0-1-1,260,2,4,1,120
1-0-1-0,260,2,4,1,120
1-0-1-0,500,2,4,1,120
1-1-0-0,380,2,4,2,240
1-1-0-1,380,2,4,1,120
1-1-1-0,500,2,4,1,120
0-0-0-1,500,3,1,1,120
0-0-1-0,380,3,1,1,120
0-0-1-1,380,3,1,2,240
0-1-0-0,260,3,1,1,120
0-1-0-1,260,3,1,1,120
0-1-0-1,500,3,1,1,120
0-1-1-0,260,3,1,2,240
0-1-1-1,260,3,1,3,360
0-0-0-1,500,4,2,1,120
0-0-1-0,380,4,2,1,120
0-0-1-1,380,4,2,2,240
0-1-0-0,260,4,2,1,120
0-1-0-1,260,4,2,1,120
0-1-0-1,500,4,2,1,120
0-1-1-0,260,4,2,2,240
0-1-1-1,260,4,2,3,360
