ledger,node,prob,
1-0-0-0,1,0.318571429, 
1-0-0-1,1,0.039285714,
1-0-1-0,1,0.038571429,
1-0-1-1,1,0.071428571,
1-1-0-0,1,0.083571429,
1-1-0-1,1,0.060714286,
1-1-1-0,1,0.084285714,
1-1-1-1,1,0.303571429,
1-0-0-0,2,0.192017738,
1-0-0-1,2,0.05232816,
1-0-1-0,2,0.051441242,
1-0-1-1,2,0.081596452,
1-1-0-0,2,0.084700665,
1-1-0-1,2,0.062527716,
1-1-1-0,2,0.102439024,
1-1-1-1,2,0.372949002,
0-0-0-1,3,0.261016949,
0-0-1-0,3,0.142372881,
0-0-1-1,3,0.124745763,
0-1-0-0,3,0.194576271,
0-1-0-1,3,0.05220339,
0-1-1-0,3,0.090847458,
0-1-1-1,3,0.134237288,
0-0-0-1,4,0.292079208,
0-0-1-0,4,0.145764576,
0-0-1-1,4,0.143564356,
0-1-0-0,4,0.172717272,
0-1-0-1,4,0.04950495,
0-1-1-0,4,0.077007701,
0-1-1-1,4,0.119361936,
1-0-0-0,3,0,
1-0-0-1,3,0,
1-0-1-0,3,0,
1-0-1-1,3,0,
1-1-0-0,3,0,
1-1-0-1,3,0,
1-1-1-0,3,0,
1-1-1-1,3,0,
1-0-0-0,4,0,
1-0-0-1,4,0,
1-0-1-0,4,0,
1-0-1-1,4,0,
1-1-0-0,4,0,
1-1-0-1,4,0,
1-1-1-0,4,0,
1-1-1-1,4,0,
0-0-0-1,1,0,
0-0-1-0,1,0,
0-0-1-1,1,0,
0-1-0-0,1,0,
0-1-0-1,1,0,
0-1-1-0,1,0,
0-1-1-1,1,0,
0-0-0-1,2,0,
0-0-1-0,2,0,
0-0-1-1,2,0,
0-1-0-0,2,0,
0-1-0-1,2,0,
0-1-1-0,2,0,
0-1-1-1,2,0,
